experiment,layer,level,value
row_shuffle,early,0,1.0
row_shuffle,early,20,0.9993641689314764
row_shuffle,early,40,0.9997433030264701
row_shuffle,early,60,0.9995542024067571
row_shuffle,early,80,0.9995792966973919
row_shuffle,early,100,0.9993540587237981
row_shuffle,early,120,0.9995375424449268
row_shuffle,early,140,0.999620447462334
row_shuffle,early,160,0.9992600241188214
row_shuffle,early,180,0.9993103380216257
row_shuffle,early,200,0.9994240569897131
row_shuffle,early,220,0.9995440265418077
row_shuffle,early,240,0.9994333384777865
row_shuffle,early,260,0.999395325064185
row_shuffle,early,280,0.9995282937974029
row_shuffle,early,300,0.9994339239844832
row_shuffle,early,320,0.9997139506333019
row_shuffle,early,340,0.9995206708509289
row_shuffle,early,360,0.9995396925062483
row_shuffle,early,381,0.9995206196776762
col_shuffle,early,0,1.0
col_shuffle,early,1,0.9964936514609588
col_shuffle,early,3,0.9945299312453825
col_shuffle,early,4,0.9935272815210181
col_shuffle,early,6,0.9936546697862121
col_shuffle,early,7,0.9945000640308366
col_shuffle,early,9,0.991778743955676
col_shuffle,early,11,0.9910252109858885
col_shuffle,early,12,0.9890061316404735
col_shuffle,early,14,0.9903502773770106
col_shuffle,early,15,0.9919697197687796
col_shuffle,early,17,0.9890580427454275
col_shuffle,early,18,0.9900565039864275
col_shuffle,early,20,0.992072659843315
col_shuffle,early,22,0.9880883106991506
col_shuffle,early,23,0.9887747843168456
col_shuffle,early,25,0.9907223178713387
col_shuffle,early,26,0.9904168842703681
col_shuffle,early,28,0.9915420181456472
col_shuffle,early,30,0.9900390916749938
random_labels,early,0,1.0
random_labels,early,20,0.999826537176709
random_labels,early,40,0.9987027955352099
random_labels,early,60,0.9957462956889652
random_labels,early,80,0.9960876953551987
random_labels,early,100,0.986811487952648
random_labels,early,120,0.9909083298002082
random_labels,early,140,0.9802877972506694
random_labels,early,160,0.977434022883678
random_labels,early,180,0.9757371037242161
random_labels,early,200,0.9613501916757548
random_labels,early,220,0.9335052599880537
random_labels,early,240,0.9247309672419188
random_labels,early,260,0.9300662501910474
random_labels,early,280,0.9395987767981152
random_labels,early,300,0.9063052947975982
random_labels,early,320,0.8812453130599704
random_labels,early,340,0.8610689184863037
random_labels,early,360,0.8459562892460089
random_labels,early,381,0.8326681137673251
col_remove,early,0,1.0
col_remove,early,1,0.9731621952050614
col_remove,early,3,0.9676073411638514
col_remove,early,4,0.9525632342357162
col_remove,early,6,0.9463949759044636
col_remove,early,7,0.9331549850102071
col_remove,early,9,0.9248940024623166
col_remove,early,10,0.9423372018172576
col_remove,early,12,0.8636261299253952
col_remove,early,13,0.8367621686326535
col_remove,early,15,0.839461653339444
col_remove,early,16,0.843296892575267
col_remove,early,18,0.8341978619721576
col_remove,early,19,0.8536449977664314
col_remove,early,21,0.8333327998305254
col_remove,early,22,0.7073392779781708
col_remove,early,24,0.7241444180711514
col_remove,early,25,0.5816517149957041
col_remove,early,27,0.6603429078029939
col_remove,early,29,0.43536034525959805
row_remove,early,0,1.0
row_remove,early,19,0.9942770485522358
row_remove,early,39,0.9940194870886637
row_remove,early,59,0.986033404792392
row_remove,early,79,0.9774530243417934
row_remove,early,99,0.9702251698409611
row_remove,early,119,0.9693415337856128
row_remove,early,139,0.9563576126585659
row_remove,early,159,0.9608943658573764
row_remove,early,179,0.969219014059173
row_remove,early,199,0.9573254211864871
row_remove,early,219,0.9507229176516637
row_remove,early,239,0.9456207642922931
row_remove,early,259,0.9339330381953979
row_remove,early,279,0.9346018469038776
row_remove,early,299,0.9222289268808244
row_remove,early,319,0.9245009751587319
row_remove,early,339,0.9238191345245359
row_remove,early,359,0.9212222825385462
row_remove,early,379,0.8041277406747463
value_noise,early,0,1.0
value_noise,early,601,0.9757484784545313
value_noise,early,1203,0.9688892007986699
value_noise,early,1804,0.9541279882127156
value_noise,early,2406,0.903433449818448
value_noise,early,3007,0.8988280792854153
value_noise,early,3609,0.8624833139647169
value_noise,early,4211,0.8031175464297918
value_noise,early,4812,0.7844979556814354
value_noise,early,5414,0.7298818900197248
value_noise,early,6015,0.6607494921094527
value_noise,early,6617,0.6486433486074943
value_noise,early,7218,0.618212164566877
value_noise,early,7820,0.6236450954459914
value_noise,early,8422,0.6160482323334626
value_noise,early,9023,0.5624628450693261
value_noise,early,9625,0.5568832110522691
value_noise,early,10226,0.5527093260416032
value_noise,early,10828,0.5457460740811398
value_noise,early,11430,0.5234624424084285
alt_target,early,0,0.8618853219114226
alt_target,early,1,0.847056925194637
alt_target,early,2,0.8667214182327521
alt_target,early,3,0.8519760034165879
alt_target,early,4,0.8511357222691295
alt_target,early,5,0.9148122021254032
alt_target,early,6,0.9162236206650308
alt_target,early,7,0.9086039228047041
alt_target,early,8,0.8777576232412899
alt_target,early,9,0.8133605451014813
alt_target,early,10,0.8845051763273944
alt_target,early,11,0.8105448087557495
alt_target,early,12,0.8864050307276115
alt_target,early,13,0.8801060144427737
alt_target,early,14,0.8025251032077468
alt_target,early,15,0.8907877872444694
alt_target,early,16,0.9084257090965977
alt_target,early,17,0.8967720456609533
alt_target,early,18,0.8155743157582355
alt_target,early,19,0.878767210943867
alt_target,early,20,0.8803148437427547
alt_target,early,21,0.8492841323026038
alt_target,early,22,0.8839462058454125
alt_target,early,23,0.8808848602869399
alt_target,early,24,0.8580168122393332
alt_target,early,25,0.8993751371482966
alt_target,early,26,0.9077310346807795
alt_target,early,27,0.9000776384528788
alt_target,early,28,0.8438171736785107
alt_target,early,29,0.8415724302461653
row_shuffle,middle,0,1.0
row_shuffle,middle,20,0.9999635044394753
row_shuffle,middle,40,0.9999839666913994
row_shuffle,middle,60,0.9999822014296799
row_shuffle,middle,80,0.9999749458341616
row_shuffle,middle,100,0.9999768239699026
row_shuffle,middle,120,0.9999686580300392
row_shuffle,middle,140,0.9999776994095876
row_shuffle,middle,160,0.9999657516037523
row_shuffle,middle,180,0.9999738729537715
row_shuffle,middle,200,0.9999464803848733
row_shuffle,middle,220,0.9999771020129617
row_shuffle,middle,240,0.9999819391526538
row_shuffle,middle,260,0.9999805463884853
row_shuffle,middle,280,0.9999853310554373
row_shuffle,middle,300,0.9999725174302793
row_shuffle,middle,320,0.9999785368477178
row_shuffle,middle,340,0.9999784394411845
row_shuffle,middle,360,0.9999807878537715
row_shuffle,middle,381,0.9999707132106007
col_shuffle,middle,0,1.0
col_shuffle,middle,1,0.999325682559732
col_shuffle,middle,3,0.9976546429016264
col_shuffle,middle,4,0.9971612144410772
col_shuffle,middle,6,0.9967626131497868
col_shuffle,middle,7,0.9988498796237787
col_shuffle,middle,9,0.9972306689256816
col_shuffle,middle,11,0.9969457032163845
col_shuffle,middle,12,0.9943472486403134
col_shuffle,middle,14,0.9964975222572034
col_shuffle,middle,15,0.9957479105467721
col_shuffle,middle,17,0.993662774692505
col_shuffle,middle,18,0.9921616519551388
col_shuffle,middle,20,0.9964596886357532
col_shuffle,middle,22,0.9954789159511594
col_shuffle,middle,23,0.9951807109023203
col_shuffle,middle,25,0.9966837293058837
col_shuffle,middle,26,0.996321395913366
col_shuffle,middle,28,0.9962700326218734
col_shuffle,middle,30,0.99444556022837
random_labels,middle,0,1.0
random_labels,middle,20,0.9912520888630377
random_labels,middle,40,0.9840220198720956
random_labels,middle,60,0.9839862627537027
random_labels,middle,80,0.9686941087084441
random_labels,middle,100,0.9523660920704133
random_labels,middle,120,0.953699069414741
random_labels,middle,140,0.9503047531812987
random_labels,middle,160,0.9408640256811655
random_labels,middle,180,0.9267597552540685
random_labels,middle,200,0.8661265757982184
random_labels,middle,220,0.8965608788773506
random_labels,middle,240,0.8795925659959583
random_labels,middle,260,0.8581124979764947
random_labels,middle,280,0.603023627860137
random_labels,middle,300,0.5082911144138798
random_labels,middle,320,0.6150509454862993
random_labels,middle,340,0.4300945783006692
random_labels,middle,360,0.14108964526374307
random_labels,middle,381,0.2516154101331015
col_remove,middle,0,1.0
col_remove,middle,1,0.9914328945076936
col_remove,middle,3,0.990717155473288
col_remove,middle,4,0.9902081341265166
col_remove,middle,6,0.9869124777777549
col_remove,middle,7,0.9895081607316917
col_remove,middle,9,0.9653324301745408
col_remove,middle,10,0.985780486699018
col_remove,middle,12,0.9830037791318011
col_remove,middle,13,0.969390893945246
col_remove,middle,15,0.9552094600825426
col_remove,middle,16,0.9526563857593985
col_remove,middle,18,0.9284451656478979
col_remove,middle,19,0.9577490395347827
col_remove,middle,21,0.939303432953972
col_remove,middle,22,0.9269194426368178
col_remove,middle,24,0.9264421287543734
col_remove,middle,25,0.8310636617722582
col_remove,middle,27,0.9221880478661314
col_remove,middle,29,0.7889021844995594
row_remove,middle,0,1.0
row_remove,middle,19,0.9991152716151056
row_remove,middle,39,0.9980133078355896
row_remove,middle,59,0.9967198011075363
row_remove,middle,79,0.9941252406552535
row_remove,middle,99,0.987489541719668
row_remove,middle,119,0.9909044120149382
row_remove,middle,139,0.9753659892327986
row_remove,middle,159,0.9890643834330908
row_remove,middle,179,0.9829671377216702
row_remove,middle,199,0.9781268725594721
row_remove,middle,219,0.9845517979214364
row_remove,middle,239,0.981089902817117
row_remove,middle,259,0.9712499258111494
row_remove,middle,279,0.9537976083201135
row_remove,middle,299,0.9526892644842742
row_remove,middle,319,0.9330555971419906
row_remove,middle,339,0.9292306977392986
row_remove,middle,359,0.6400755670199922
row_remove,middle,379,0.5157408670751354
value_noise,middle,0,1.0
value_noise,middle,601,0.9941002032726521
value_noise,middle,1203,0.9869337598482
value_noise,middle,1804,0.9850351405066713
value_noise,middle,2406,0.9810119125484077
value_noise,middle,3007,0.9711793100378616
value_noise,middle,3609,0.9766653005383964
value_noise,middle,4211,0.965163331444367
value_noise,middle,4812,0.9654522028870444
value_noise,middle,5414,0.9591885318746317
value_noise,middle,6015,0.9536199639312113
value_noise,middle,6617,0.9397671892840533
value_noise,middle,7218,0.9330704267862383
value_noise,middle,7820,0.9231507479682532
value_noise,middle,8422,0.9150799981851886
value_noise,middle,9023,0.890527630822874
value_noise,middle,9625,0.865522117135267
value_noise,middle,10226,0.7759518451003455
value_noise,middle,10828,0.5884174159400086
value_noise,middle,11430,0.2253139746131911
alt_target,middle,0,0.5828218512599818
alt_target,middle,1,0.3600707463933067
alt_target,middle,2,0.605250561784086
alt_target,middle,3,0.5723459076043883
alt_target,middle,4,0.22625670382828095
alt_target,middle,5,0.5506506164786984
alt_target,middle,6,0.6954202522730077
